
n = 22,k = 5,Exe time = 35 ms,Requirement = 1,26-10-2019 10:45:35
n = 14,k = 5,Exe time = 2 ms,Requirement = 2,26-10-2019 10:45:35
n = 22,k = 5,Exe time = 46 ms,Requirement = 1,26-10-2019 12:34:42
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 12:34:47
n = 22,k = 5,Exe time = 3 ms,Requirement = 1,26-10-2019 12:34:49
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 12:34:52
n = 22,k = 5,Exe time = 3 ms,Requirement = 1,26-10-2019 12:34:55
n = 22,k = 5,Exe time = 48 ms,Requirement = 1,26-10-2019 13:06:12
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 13:06:14
n = 22,k = 5,Exe time = 4 ms,Requirement = 1,26-10-2019 13:06:15
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 13:06:16
n = 22,k = 5,Exe time = 53 ms,Requirement = 1,26-10-2019 13:14:08
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 13:14:14
n = 22,k = 5,Exe time = 5 ms,Requirement = 1,26-10-2019 13:14:16
n = 14,k = 5,Exe time = 4 ms,Requirement = 2,26-10-2019 13:14:17
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 13:14:18
n = 22,k = 5,Exe time = 3 ms,Requirement = 1,26-10-2019 13:14:21
n = 22,k = 5,Exe time = 3 ms,Requirement = 1,26-10-2019 13:14:22
n = 22,k = 5,Exe time = 3 ms,Requirement = 1,26-10-2019 13:14:23
n = 22,k = 5,Exe time = 46 ms,Requirement = 1,26-10-2019 13:14:57
n = 22,k = 5,Exe time = 4 ms,Requirement = 1,26-10-2019 13:14:58
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 13:14:59
n = 14,k = 5,Exe time = 3 ms,Requirement = 2,26-10-2019 13:15:00
n = 77349,k = 12149,Exe time = 4642 ms,Requirement = 1,26-10-2019 13:17:31
n = 96225,k = 12398,Exe time = 5271 ms,Requirement = 1,26-10-2019 13:23:36
n = 7217,k = 3494,Exe time = 1572 ms,Requirement = 2,26-10-2019 13:23:41
n = 7468,k = 4382,Exe time = 1416 ms,Requirement = 2,26-10-2019 13:23:46
n = 4742,k = 1177,Exe time = 274 ms,Requirement = 2,26-10-2019 13:23:48
n = 6775,k = 2973,Exe time = 825 ms,Requirement = 2,26-10-2019 13:23:50
n = 7753,k = 5753,Exe time = 1673 ms,Requirement = 1,26-10-2019 13:27:36
n = 8537,k = 3127,Exe time = 777 ms,Requirement = 1,26-10-2019 13:27:40
n = 5825,k = 2630,Exe time = 820 ms,Requirement = 2,26-10-2019 13:27:42
n = 3608,k = 293,Exe time = 87 ms,Requirement = 2,26-10-2019 13:27:43
